FID,y_koordinat,x_koordinat,vejkode,kommunekode,omraade,navn,vejnavn,vejnummer,postnummer,bby,hjemmesideadresse,bydelnavn,bydelsid,wkb_geometry
skoler.1,6175474.01,724837.01,8252,101,Indre By-Østerbro,Den Classenske Legatskole,Vester Voldgade,98,1552,København V,http://www.dcl.kk.dk,Indre By,1,POINT (12.57572806609185 55.67291623323177)
skoler.2,6177008.01,725231.01,7280,101,Indre By-Østerbro,Sølvgades Skole,Sølvgade,16,1307,København K,http://www.soel.kk.dk,Indre By,1,POINT (12.58323934936467 55.68649040450764)
skoler.3,6177471.01,725396.01,8612,101,Indre By-Østerbro,Nyboder Skole,Øster Voldgade,15,1350,København K,http://www.nyboderskole.kk.dk,Indre By,1,POINT (12.586239078060993 55.69056593267992)
skoler.4,6177675.01,724862.01,8588,101,Indre By-Østerbro,Øster Farimagsgades Skole,Øster Farimagsgade,40,2100,København Ø,http://www.oef.kk.dk,Indre By,1,POINT (12.577928570337939 55.69264299706235)
skoler.5,6175663.01,726146.01,5612,101,Indre By-Østerbro,Christianshavns Skole,Prinsessegade,45,1422,København K,http://www.chr.kk.dk,Christianshavn,2,POINT (12.596655758536535 55.67400357485248)
skoler.6,6177672.01,723285.01,6408,101,Nørrebro-Bispebjerg,Guldberg Skole,Sjællandsgade,10,2200,København N,http://www.guldbergskole.kk.dk,Indre Nørrebro,5,POINT (12.552887736335636 55.6933439923538)
skoler.7,6179145.01,724966.01,5716,101,Indre By-Østerbro,Randersgades Skole,Randersgade,38,2100,København Ø,http://www.rg.kk.dk,Indre Østerbro,3,POINT (12.580786270881413 55.705777537411855)
skoler.8,6179469.01,724825.01,3636,101,Indre By-Østerbro,Vibenshus Skole,Kertemindegade,10,2100,København Ø,http://www.vi.kk.dk,Indre Østerbro,3,POINT (12.57881277809619 55.708748469543885)
skoler.9,6178477.01,725375.01,3008,101,Indre By-Østerbro,Langelinieskolen,Holsteinsgade,41,2100,København Ø,http://www.langelinieskolen.kk.dk,Indre Østerbro,3,POINT (12.586732649851452 55.699597272907745)
skoler.10,6178794.01,725433.01,6988,101,Indre By-Østerbro,Skolen på Strandboulevarden,Strandboulevarden,47,2100,København Ø,http://www.langelinieskolen.kk.dk,Indre Østerbro,3,POINT (12.58791441033097 55.70241311671099)
skoler.11,6178837.01,725050.01,5716,101,Indre By-Østerbro,Heibergskolen,Randersgade,10,2100,København Ø,http://www.heibergskolen.kk.dk,Indre Østerbro,3,POINT (12.581867400017709 55.70297649870227)
skoler.12,6178238.01,724787.01,6740,101,Indre By-Østerbro,Sortedamskolen,Sortedam Dossering,97,2100,København Ø,http://www.sortedamskolen.kk.dk,Indre Østerbro,3,POINT (12.577199405706715 55.69772664475836)
skoler.13,6179747.01,724835.01,6396,101,Indre By-Østerbro,Strandvejsskolen,Sionsgade,1,2100,København Ø,http://www.strandvejsskolen.kk.dk,Ydre Østerbro,4,POINT (12.579199804052832 55.71123689330636)
skoler.14,6180141.01,724198.01,452,101,Indre By-Østerbro,Kildevældsskolen,Bellmansgade,5A,2100,København Ø,http://www.kildevaeld.kk.dk,Ydre Østerbro,4,POINT (12.569403919009595 55.7150650601058)
skoler.15,6177049.01,723148.01,2604,101,Nørrebro-Bispebjerg,Blågård Skole,Hans Tavsens Gade,4,2200,København N,http://www.blg.kk.dk,Indre Nørrebro,5,POINT (12.55020557575779 55.68781983481974)
skoler.16,6177305.01,722788.01,3332,101,Nørrebro-Bispebjerg,Nørrebro Park Skole,Jagtvej,34,2200,København N,http://www.nps.kk.dk,Indre Nørrebro,5,POINT (12.544698354588865 55.69028100964501)
skoler.17,6179025.01,723547.01,524,101,Nørrebro-Bispebjerg,Nørre Fælled Skole,Biskop Krags Vænge,7,2100,København Ø,http://www.klo.kk.dk,Ydre Østerbro,4,POINT (12.558151136290052 55.70535719794168)
skoler.18,6178293.01,723045.01,6160,101,Nørrebro-Bispebjerg,Rådmandsgades Skole,Rådmandsgade,22,2200,København N,http://www.raadmandsgadesskole.kk.dk,Ydre Nørrebro,6,POINT (12.549582349408842 55.699023540116016)
skoler.19,6181054.01,721593.01,1940,101,Nørrebro-Bispebjerg,Holbergskolen,Frederiksborgvej,216,2400,København NV,http://www.holbergskolen.kk.dk,Bispebjerg,12,POINT (12.528758157397105 55.72445021909424)
skoler.20,6180439.01,722606.01,4236,101,Nørrebro-Bispebjerg,Lundehusskolen,Lersø Parkallé,152,2100,København Ø,http://www.lundehus.kk.dk,Bispebjerg,12,POINT (12.544354948601676 55.7184708082253)
skoler.21,6178200.01,721642.01,6144,101,Nørrebro-Bispebjerg,Grøndalsvængets Skole,Rørsangervej,29,2400,København NV,http://www.gvs.kk.dk,Bispebjerg,12,POINT (12.527227137128191 55.69883222532794)
skoler.22,6179437.01,721974.01,4580,101,Nørrebro-Bispebjerg,Tagensbo Skole,Magistervej,4,2400,København NV,http://www.tgb.kk.dk,Bispebjerg,12,POINT (12.533501453243554 55.70977427457112)
skoler.23,6180316.01,718842.01,6494,101,Vanløse-Brønshøj,Tingbjerg Heldagsskole,Skolesiden,2,2700,Brønshøj,http://www.tingbjergskole.kk.dk,Brønshøj-Husum,11,POINT (12.484451247716947 55.719080742585156)
skoler.24,6178837.01,718243.01,3576,101,Vanløse-Brønshøj,Husum Skole,Karlslundevej,23,2700,Brønshøj,http://www.husumskole.kk.dk,Brønshøj-Husum,11,POINT (12.47375489102646 55.7060857531658)
skoler.25,6179209.01,717945.01,7372,101,Vanløse-Brønshøj,Korsager Skole,Tersløsevej,35,2700,Brønshøj,http://www.korsagerskole.kk.dk,Brønshøj-Husum,11,POINT (12.46931737198587 55.709556129406714)
skoler.26,6176498.01,718848.01,2608,101,Vanløse-Brønshøj,Hyltebjerg Skole,Hanstholmvej,10,2720,Vanløse,http://www.hyltebjergskole.kk.dk,Vanløse,10,POINT (12.481497562423892 55.68483525592946)
skoler.27,6176680.01,718846.01,8672,101,Vanløse-Brønshøj,Vanløse Skole,Ålekistevej,121,2720,Vanløse,http://www.van.kk.dk,Vanløse,10,POINT (12.48161100479874 55.686468481086365)
skoler.28,6177778.01,718871.01,7992,101,Vanløse-Brønshøj,Kirkebjerg Skole,Vanløsehøj,4,2720,Vanløse,http://www.kirkebjergskole.kk.dk,Vanløse,10,POINT (12.482884265976159 55.69630494981881)
skoler.29,6177151.01,719902.01,7984,101,Vanløse-Brønshøj,Katrinedals Skole,Vanløse Allé,44,2720,Vanløse,http://www.katrinedalsskole.kk.dk,Vanløse,10,POINT (12.49875343768592 55.69021562794596)
skoler.30,6174639.01,722952.01,1588,101,Valby-Vesterbro-Kgs. Enghave,Tove Ditlevsens Skole,Enghave Plads,21,1670,København V,http://www.tds.kk.dk,Vesterbro,7,POINT (12.545136389105995 55.666296502303254)
skoler.31,6174800.01,723270.01,5240,101,Valby-Vesterbro-Kgs. Enghave,Oehlenschlægersgades Skole,Oehlenschlægersgade,57,1663,København V,http://www.oeh.kk.dk,Vesterbro,7,POINT (12.550312876208034 55.66759437478102)
